uid,clfir_final_clinical_accuracy_score,clfir_final_groundedness_score,clfir_final_completeness_score,clfir_final_style_score,clfir_final_overall_score,adapter2_more_imp_clinical_accuracy_score,adapter2_more_imp_groundedness_score,adapter2_more_imp_completeness_score,adapter2_more_imp_style_score,adapter2_more_imp_overall_score
2580,9.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2581,4.0,3.0,6.0,7.0,5.0,4.0,3.0,2.0,6.0,3.0
2583,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2584,9.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0
2585,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2586,9.0,9.0,8.0,9.0,9.0,7.0,8.0,6.0,9.0,7.0
2588,9.0,10.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,9.0
2589,9.0,10.0,7.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0
2590,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2591,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
2592,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
2593,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2594,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2595,9.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2596,9.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0
2597,8.0,9.0,6.0,9.0,8.0,2.0,1.0,3.0,7.0,3.0
2599,2.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,8.0,2.0
2600,9.0,8.0,7.0,9.0,8.0,8.0,9.0,6.0,9.0,8.0
2604,1.0,1.0,2.0,7.0,3.0,9.0,8.0,7.0,9.0,8.0
2605,2.0,2.0,3.0,6.0,3.0,2.0,2.0,3.0,6.0,3.0
2607,8.0,9.0,7.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0
2608,6.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,6.0
2609,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2610,8.0,9.0,6.0,9.0,8.0,8.0,9.0,6.0,9.0,8.0
2611,9.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0
2612,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0
2613,6.0,7.0,5.0,8.0,6.0,7.0,9.0,6.0,8.0,7.0
2614,3.0,3.0,5.0,7.0,4.0,2.0,2.0,3.0,7.0,3.0
2615,3.0,2.0,2.0,7.0,3.0,6.0,7.0,5.0,8.0,6.0
2616,8.0,9.0,7.0,9.0,8.0,7.0,8.0,6.0,9.0,7.0
2617,2.0,1.0,3.0,7.0,3.0,8.0,9.0,6.0,9.0,8.0
2618,9.0,9.0,7.0,10.0,8.0,9.0,9.0,7.0,10.0,8.0
2619,6.0,3.0,4.0,9.0,5.0,6.0,3.0,4.0,9.0,5.0
2620,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0
